Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22
A11,6.0,A32,A42,1374.0, A61 ,A73,1.0,A93,A101,2.0,A121,36.0,,A152,1.0,A172,1.0,a192,A201,6.0,
A14,6.0,A30,A43,426.0, A61 ,A75,,A94,A101,4.0,a123,39.0,,A152,1.0,A172,1.0,A191,a201,6.0, 
A13,12.0,A31,A43,409.0, a64 ,A73,3.0,A92,A101,3.0,A121,42.0,a143,,2.0,A173,1.0,a191,A201,12.0,
A12,7.0,a32,a43,2415.0, A61 ,A73,3.0,A93,A103,2.0,A121,34.0,A143,A152,1.0,A173,1.0,A191,A201,7.0,
,60.0,a33,A49,, A61 ,A75,3.0,A93,A101,4.0,,63.0,a143,A152,2.0,a173,1.0,A192,,60.0, 
A12,,A32,A49,1913.0, A64 ,A72,3.0,A94,A101,,A121,36.0,a141,A152,1.0,A173,1.0,A192,A201,,
A11,24.0,A32,A42,4020.0, a61 ,A73,2.0,A93,A101,2.0,,27.0,A142,A152,1.0,A173,1.0,A191,A201,24.0, 
A12,18.0,A32,A40,5866.0, A62 ,A73,2.0,A93,A101,2.0,A123,30.0,A143,A152,,a173,1.0,A192,a201,18.0,
a14,12.0,A34,A49,1264.0, A65 ,A75,4.0,A93,A101,4.0,A124,57.0,A143,A151,1.0,A172,1.0,A191,A201,12.0,
A13,12.0,A32,A42,1474.0, a61 ,A72,4.0,A92,A101,1.0,A122,150.0,,A152,1.0,A174,1.0,A192,a201,12.0,99
a12,45.0,A34,A43,4746.0, A61 ,A72,4.0,A93,A101,2.0,a122,25.0,A143,A152,2.0,A172,1.0,A191,A201,45.0,
A14,48.0,A34,A46,6110.0, A61 ,A73,1.0,A93,A101,3.0,a124,31.0,A141,A153,1.0,A173,1.0,a192,A201,48.0,
A13,18.0,A32,A43,2100.0, A61 ,A73,4.0,A93,A102,2.0,A121,37.0,A142,a152,1.0,A173,1.0,a191,A201,18.0,
A13,10.0,a32,A44,1225.0, A61 ,A73,2.0,??,A101,2.0,a123,37.0,A143,A152,1.0,A173,1.0,A192,A201,10.0,
A12,9.0,A32,A43,458.0, A61 ,A73,4.0,A93,A101,3.0,A121,24.0,A143,A152,1.0,A173,1.0,A191,,9.0,
A14,30.0,A32,A43,2333.0, A63 ,A75,4.0,A93,A101,2.0,A123,30.0,A141,,1.0,A174,1.0,A191,A201,30.0,
A12,12.0,A32,A43,1158.0, A63 ,A73,3.0,A91,a101,1.0,A123,26.0,A143,A152,,A173,1.0,A192,A201,12.0,
,18.0,A33,A45,6204.0, A61 ,A73,2.0,,A101,4.0,A121,44.0,A143,A152,1.0,,2.0,a192,A201,18.0,
A11,30.0,A34,a41,6187.0, A62 ,A74,1.0,A94,A101,4.0,A123,24.0,A143,A151,2.0,A173,1.0,a191,A201,30.0,
A11,48.0,A34,a41,6143.0, A61 ,a75,4.0,a92,A101,4.0,A124,58.0,A142,A153,2.0,A172,1.0,A191,A201,48.0,
A14,11.0,A34,a40,1393.0, A61 ,A72,4.0,A92,,4.0,A123,35.0,A143,A152,2.0,A174,1.0,A191,A201,11.0,
A14,36.0,A32,a43,2299.0, a63 ,A75,4.0,a93,A101,4.0,,39.0,A143,A152,1.0,a173,1.0,A191,A201,36.0,
A11,,A32,A41,1352.0, A63 ,A71,,,A101,,A122,23.0,a143,a151,1.0,A171,1.0,A192,A201,,
A14,11.0,A34,A40,7228.0, A61 ,A73,1.0,A93,A101,4.0,a122,39.0,A143,A152,2.0,A172,1.0,,A201,11.0, 
A14,,A32,A43,2073.0, A62 ,a73,4.0,A92,A102,2.0,A121,28.0,a143,,1.0,A173,1.0,A191,A201,,
A12,24.0,A33,A42,2333.0, A65 ,a72,4.0,a93,A101,2.0,,29.0,a141,A152,1.0,A172,1.0,A191,a201,24.0,99
A12,27.0,A33,A41,5965.0, a61 ,A75,1.0,A93,a101,2.0,A123,30.0,A143,A152,2.0,a174,1.0,A192,,27.0,
A14,12.0,A32,A43,1262.0, A61 ,A73,3.0,A93,,2.0,A123,25.0,A143,A152,1.0,A173,1.0,A191,A201,12.0,
A14,18.0,A32,A41,3378.0, a65 ,A73,2.0,A93,A101,1.0,a122,31.0,A143,A152,1.0,A173,,a192,A201,18.0,
A12,36.0,A33,A40,2225.0, A61 ,A75,4.0,a93,A101,4.0,a124,57.0,,a153,2.0,A173,1.0,A192,a201,36.0,
A14,6.0,A31,a40,, a65 ,a73,1.0,A93,A103,2.0,A121,26.0,A142,A152,1.0,A172,2.0,A191,A201,6.0, 
A12,12.0,A32,A43,6468.0, a65 ,A71,2.0,A93,A101,1.0,A124,52.0,A143,A152,1.0,A174,1.0,A192,A201,12.0,
A14,36.0,A34,A43,, A61 ,A73,2.0,A92,A101,2.0,a123,31.0,,A152,2.0,A173,1.0,A191,A201,36.0,
,18.0,A32,A40,1961.0, A61 ,A75,3.0,A92,A101,2.0,A123,23.0,A143,a152,1.0,A174,1.0,A191,a201,18.0,
A11,36.0,A34,a42,6229.0, A61 ,A72,4.0,A92,A102,4.0,A124,23.0,a143,A151,2.0,,1.0,a192,A201,36.0,
A12,9.0,A32,a49,1391.0, A61 ,A73,2.0,A94,A101,1.0,A121,27.0,A141,a152,,a173,1.0,A192,A201,9.0,
A12,15.0,A34,A43,1537.0, A65 ,A75,4.0,A93,A103,,A121,50.0,A143,A152,2.0,A173,1.0,A192,A201,15.0,
A12,36.0,A30,A49,1953.0, A61 ,A75,4.0,??,A101,4.0,A124,61.0,A143,A153,1.0,A174,1.0,a192,a201,36.0,
A12,48.0,A30,A49,14421.0, A61 ,A73,2.0,A93,A101,2.0,A123,25.0,A143,A152,1.0,a173,,a192,a201,48.0,
A14,24.0,A32,A43,3181.0, A61 ,A72,4.0,A92,A101,4.0,,-5.0,A143,A152,1.0,A173,1.0,A192,,24.0,
A14,27.0,a32,A45,5190.0, nan ,A75,4.0,,A101,4.0,A122,48.0,A143,A152,4.0,A173,2.0,A192,A201,27.0, 
A14,12.0,A32,,2171.0, A61 ,A72,,a92,A101,2.0,,29.0,A141,A152,,A173,1.0,A191,A201,12.0,
A12,12.0,a32,A40,1007.0, A64 ,A73,4.0,A94,A101,1.0,A121,22.0,a143,A152,1.0,A173,1.0,A191,A201,12.0,99
A14,36.0,A32,A46,1819.0, A61 ,A73,4.0,A93,,4.0,A124,37.0,a142,A153,1.0,A173,1.0,A192,a201,36.0, 
A14,36.0,a32,A43,2394.0, nan ,A73,4.0,A92,A101,4.0,A123,25.0,a143,a152,1.0,A173,1.0,A191,A201,36.0, 
a14,36.0,A32,A41,8133.0, A61 ,A73,1.0,A92,A101,2.0,A122,30.0,A141,A152,1.0,A173,1.0,A191,A201,36.0, 
A14,7.0,A34,a43,730.0, A65 ,A75,4.0,A93,a101,2.0,A122,46.0,A143,a151,2.0,A172,1.0,A192,A201,7.0,99
,,A34,A410,1164.0, A61 ,A75,3.0,a93,A101,4.0,A124,51.0,A141,a153,2.0,A174,2.0,A192,A201,, 
A12,,A34,A49,5954.0, A61 ,a74,2.0,A92,A101,1.0,,41.0,A141,A152,,A172,1.0,A191,A201,,
A11,36.0,A32,A46,1977.0, A65 ,A75,4.0,A93,a101,4.0,A124,40.0,A143,A152,1.0,A174,1.0,A192,A201,36.0,
a11,12.0,A34,A41,1526.0, A61 ,,4.0,a93,A101,4.0,a124,66.0,A143,a153,2.0,A174,1.0,A191,a201,12.0,
A11,42.0,A32,A43,3965.0, A61 ,a72,4.0,A93,A101,3.0,a123,34.0,a143,A152,,a173,1.0,A191,A201,42.0,
A12,11.0,A33,A43,4771.0, a61 ,A74,2.0,A93,A101,4.0,A122,51.0,A143,A152,1.0,a173,1.0,a191,A201,11.0,
a14,54.0,A30,A41,9436.0, A65 ,A73,2.0,A93,a101,2.0,A122,,A143,A152,1.0,a172,2.0,A191,A201,54.0,
A12,30.0,A32,A42,3832.0, A61 ,A72,2.0,A94,A101,1.0,A122,22.0,A143,A152,1.0,A173,1.0,A191,A201,30.0,
A14,24.0,,A43,5943.0, A65 ,A72,1.0,A92,A101,1.0,A123,44.0,A143,a152,2.0,A173,1.0,A192,A201,24.0,
A14,15.0,A32,A43,1213.0, A63 ,A75,4.0,A93,A101,3.0,a122,47.0,A142,A152,1.0,a173,1.0,A192,a201,15.0,
A14,18.0,A32,A49,1568.0, A62 ,A73,3.0,a92,a101,4.0,A122,24.0,A143,a151,1.0,A172,1.0,A191,A201,18.0, 
A11,24.0,A32,A410,1755.0, A61 ,A75,4.0,A92,a103,4.0,A121,58.0,A143,a152,1.0,a172,1.0,A192,A201,24.0,
A11,10.0,A32,A43,2315.0, a61 ,a75,3.0,a93,a101,,A121,52.0,A143,A152,1.0,a172,1.0,A191,A201,10.0,
a14,12.0,A34,A49,1412.0, A61 ,A73,,A92,A103,2.0,A121,29.0,,A152,2.0,A174,1.0,A192,A201,12.0, 
A12,18.0,A34,A42,1295.0, A61 ,A72,4.0,A92,A101,1.0,A122,27.0,a143,A152,2.0,A173,1.0,A191,a201,18.0,
A12,36.0,A32,,12612.0, a62 ,a73,1.0,A93,A101,4.0,A124,47.0,a143,A153,1.0,a173,2.0,A192,A201,36.0,
A11,18.0,A32,A40,2249.0, A62 ,A74,4.0,A93,A101,3.0,A123,150.0,a143,,1.0,A174,2.0,A192,A201,18.0,
A11,12.0,A30,A45,, A61 ,,4.0,A93,A101,3.0,A121,28.0,a143,A152,2.0,A173,1.0,a191,A201,12.0, 
A14,12.0,A34,A43,618.0, nan ,A75,4.0,A93,A101,4.0,A121,56.0,a143,A152,1.0,A173,1.0,A191,,12.0,
a11,12.0,a34,A41,1409.0, A61 ,A75,4.0,A93,a101,3.0,a121,54.0,A143,a152,1.0,A173,1.0,A191,A201,12.0,
A14,12.0,A34,A43,797.0, A65 ,A75,4.0,A92,a101,3.0,,33.0,A141,A152,1.0,A172,2.0,A191,a201,12.0,
A13,24.0,A34,A42,3617.0, A65 ,A75,4.0,a93,A102,4.0,A124,20.0,A143,A151,2.0,A173,1.0,A191,A201,24.0,
A12,12.0,A32,A40,1318.0, nan ,a75,4.0,A93,a101,4.0,A121,54.0,A143,A152,1.0,A173,1.0,A192,a201,12.0,
a12,54.0,a30,A49,15945.0, A61 ,a72,3.0,a93,A101,4.0,A124,58.0,A143,A151,1.0,A173,1.0,a192,a201,54.0, 
A14,12.0,A34,A46,, A65 ,A74,4.0,A92,A101,2.0,A123,61.0,A143,A152,1.0,A173,1.0,,a201,12.0,
a12,18.0,A32,A49,2622.0, A62 ,A73,,A93,A101,4.0,A123,34.0,A143,A152,1.0,A173,1.0,A191,A201,18.0,
,36.0,A34,,2337.0, A61 ,a75,4.0,A93,A101,4.0,a121,36.0,A143,A152,1.0,A173,1.0,A191,A201,36.0,
A12,20.0,A33,A41,, nan ,A74,3.0,A93,A101,4.0,a122,36.0,A141,A151,,A174,,,A201,20.0,
,24.0,A32,a40,1469.0, A62 ,A75,,A94,a101,4.0,A121,41.0,A143,A151,1.0,A172,1.0,A191,A201,24.0,
a12,36.0,A32,A43,2323.0, A61 ,A74,4.0,A93,A101,4.0,a123,24.0,a143,A151,1.0,,1.0,a191,A201,36.0, 
A14,6.0,A33,A43,932.0, A61 ,A73,3.0,A92,A101,2.0,A121,-5.0,A143,A152,1.0,A173,1.0,A191,a201,6.0,
A12,9.0,a34,a42,1919.0, A61 ,A74,4.0,,A101,3.0,A123,35.0,A143,a151,1.0,,1.0,,A201,9.0,
A14,12.0,A32,A41,2445.0, A65 ,A72,2.0,A94,A101,4.0,A123,26.0,A143,A151,1.0,A173,1.0,A192,A201,12.0,
a12,24.0,A34,A410,, A61 ,A73,2.0,A93,A102,3.0,A123,39.0,a143,A152,2.0,A174,2.0,A192,A201,24.0,
A14,18.0,A31,A40,6458.0, A61 ,A75,,A93,a101,4.0,A124,39.0,A141,A152,2.0,A174,2.0,A192,a201,18.0,
A12,12.0,A32,,6078.0, A61 ,A74,2.0,A93,A101,2.0,A123,32.0,A143,a152,1.0,A173,1.0,a191,,12.0, 
a11,24.0,A32,A42,7721.0, A65 ,A72,1.0,A92,A101,2.0,A122,30.0,A143,A152,1.0,,1.0,A192,A202,24.0,99
A12,14.0,A32,a49,1410.0, A63 ,A75,1.0,A94,A101,2.0,a121,35.0,A143,A152,1.0,A173,1.0,A192,A201,14.0,
A12,6.0,a33,A49,1449.0, A62 ,A75,1.0,A91,A101,2.0,A123,31.0,A141,A152,2.0,a173,2.0,A191,A201,6.0,
a13,15.0,A32,A46,392.0, A61 ,A72,4.0,A92,a101,,a122,23.0,a143,A151,1.0,A173,1.0,A192,a201,15.0,99
A12,18.0,A32,A40,6260.0, A61 ,a74,3.0,A93,A101,3.0,,28.0,A143,A151,1.0,A172,1.0,,a201,18.0,
a14,36.0,A34,A40,7855.0, A61 ,A73,4.0,A92,A101,2.0,A121,25.0,A142,a152,,A173,1.0,A192,A201,36.0,
a11,12.0,A32,A43,1680.0, A63 ,A75,3.0,a94,A101,1.0,A121,35.0,A143,A152,1.0,A173,1.0,A191,A201,12.0,
a14,48.0,a34,A43,3578.0, A65 ,A75,4.0,A93,A101,1.0,a121,47.0,a143,A152,1.0,A173,1.0,a192,A201,48.0, 
A11,42.0,A32,A43,7174.0, A65 ,A74,4.0,A92,a101,3.0,A123,30.0,A143,a152,1.0,a174,1.0,A192,A201,42.0,
A11,10.0,A34,,2132.0, A65 ,A72,2.0,A92,A102,3.0,A121,27.0,a143,A151,2.0,A173,1.0,A191,A202,10.0,
A11,33.0,A34,A42,4281.0, A63 ,A73,1.0,A92,a101,4.0,A123,23.0,a143,A152,2.0,A173,1.0,A191,A201,33.0,
A12,12.0,A34,A40,2366.0, A63 ,A74,3.0,A91,A101,3.0,a123,36.0,A143,,1.0,A174,1.0,A192,A201,12.0,
A11,21.0,A32,A43,1835.0, A61 ,A73,3.0,A92,A101,,A121,25.0,A143,A152,2.0,A173,1.0,a192,A201,21.0,
A14,24.0,A34,A41,3868.0, a61 ,a75,4.0,A92,A101,2.0,A123,41.0,,A151,,A174,1.0,a192,,24.0,
A14,12.0,a32,A42,1768.0, A61 ,,3.0,A93,a101,2.0,A121,24.0,A143,a151,1.0,A172,1.0,A191,A201,12.0,
A13,10.0,A34,A40,781.0, A61 ,A75,4.0,A93,A101,4.0,A124,63.0,A143,A153,2.0,A173,1.0,A192,A201,10.0,
A12,18.0,A32,A42,1924.0, A65 ,A72,4.0,A92,a101,3.0,,27.0,A143,A151,1.0,a173,1.0,A191,A201,18.0,
A11,12.0,A34,A40,2121.0, A61 ,A73,4.0,,A101,2.0,A122,30.0,,A152,2.0,A173,1.0,A191,A201,12.0, 
A11,12.0,a32,A43,701.0, A61 ,A73,4.0,A94,A101,2.0,A121,40.0,A143,A152,1.0,A172,1.0,A191,A201,12.0,99
A12,12.0,A32,A45,639.0, A61 ,A73,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,a191,A201,12.0,
,12.0,A34,A41,1860.0, A61 ,A71,4.0,A93,A101,2.0,A123,34.0,A143,A152,2.0,a174,1.0,A192,A201,12.0,
A11,12.0,A34,a40,, A61 ,A73,3.0,??,A102,2.0,A121,29.0,A143,A152,2.0,A173,1.0,A191,A201,12.0,
A12,48.0,A32,A40,8487.0, A65 ,A74,1.0,A92,A101,2.0,A123,24.0,A143,,1.0,A173,1.0,A191,A201,48.0,
A11,36.0,,A46,6887.0, A61 ,A73,4.0,A93,A101,3.0,A122,29.0,A142,A152,1.0,A173,1.0,a192,A201,36.0, 
A14,15.0,A32,A42,2708.0, A61 ,A72,2.0,A93,A101,3.0,A122,27.0,A141,A152,2.0,A172,1.0,A191,A201,15.0,
A14,18.0,a32,A42,1984.0, nan ,A73,4.0,A93,A101,4.0,A124,47.0,a141,A153,,A173,1.0,a191,A201,18.0,
A14,60.0,A32,A43,10144.0, A62 ,,2.0,A92,A101,,A121,21.0,a143,a152,1.0,A173,1.0,A192,A201,60.0,
a14,12.0,A34,a43,, A65 ,A75,4.0,A92,A101,,A121,38.0,A143,A152,2.0,a173,1.0,A192,a201,12.0,
A14,27.0,a33,A41,8613.0, A64 ,A73,2.0,A93,A101,2.0,A123,27.0,A143,A152,,A173,1.0,A191,A201,27.0,
A12,12.0,A32,A43,766.0, A63 ,A73,4.0,A93,A101,3.0,A121,66.0,,A152,1.0,A172,1.0,A191,A201,12.0,
a12,15.0,A34,A43,, A65 ,A74,4.0,A93,A103,2.0,a121,35.0,A141,A152,3.0,A173,1.0,a192,A201,15.0,
a13,12.0,A32,A43,1881.0, A61 ,A73,2.0,A92,A101,2.0,A123,44.0,A143,A151,1.0,A172,1.0,A192,A201,12.0,
A13,6.0,A32,a40,709.0, A64 ,A72,2.0,a94,A101,,a121,27.0,a143,A152,1.0,A171,1.0,A191,A202,6.0,
a12,36.0,A32,A43,4795.0, a61 ,A72,4.0,A92,A101,1.0,A124,30.0,A143,A152,1.0,A174,1.0,A192,A201,36.0,
A11,27.0,A32,A43,3416.0, A61 ,A73,3.0,A93,A101,2.0,a123,27.0,A143,A152,1.0,a174,1.0,A191,A201,27.0,
A11,18.0,A32,A42,2462.0, A61 ,A73,2.0,a93,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A201,18.0,
A14,21.0,A34,a42,2288.0, A61 ,A72,4.0,A92,A101,4.0,,23.0,A143,A152,1.0,A173,1.0,A192,a201,21.0, 
,48.0,A31,A49,3566.0, A62 ,A74,4.0,,A101,2.0,A123,30.0,A143,A152,1.0,A173,1.0,A191,a201,48.0,
A11,6.0,A34,A40,860.0, A61 ,a75,1.0,A92,A101,4.0,A124,,A143,A152,2.0,A173,1.0,A192,A201,6.0,
A14,12.0,A34,A40,682.0, A62 ,A74,4.0,A92,A101,3.0,A123,,A143,A152,2.0,A173,1.0,A192,A201,12.0,
A11,36.0,A34,a42,5371.0, A61 ,A73,3.0,A93,A103,2.0,A122,28.0,A143,A152,2.0,A173,1.0,A191,A201,36.0,
A14,18.0,A34,a43,1582.0, A64 ,A75,4.0,a93,A101,4.0,A123,46.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
A14,6.0,A32,A43,1346.0, A62 ,A75,2.0,A93,a101,4.0,,42.0,A141,a153,1.0,A173,2.0,A192,A201,6.0,
A14,10.0,A32,A43,, a61 ,A73,1.0,a93,A101,4.0,A122,38.0,,A152,1.0,A173,1.0,a192,A202,10.0,
A13,36.0,A32,A43,5848.0, a61 ,A73,4.0,A93,A101,1.0,A123,24.0,,A152,1.0,A173,1.0,A191,A201,36.0,
A12,24.0,A34,A41,7758.0, A64 ,A75,2.0,A92,A101,4.0,A124,29.0,A143,A151,1.0,A173,1.0,A191,A201,24.0,
A12,24.0,A33,A49,6967.0, A62 ,a74,4.0,A93,A101,4.0,A123,36.0,A143,A151,1.0,A174,1.0,A192,A201,24.0,
A11,12.0,A32,A42,, A61 ,,2.0,a92,A101,4.0,A123,20.0,A143,A151,1.0,A173,1.0,A191,A201,12.0,
A11,9.0,A34,A45,1288.0, A62 ,unknown,3.0,a93,A103,4.0,A121,,A143,a152,2.0,A173,2.0,A191,A202,9.0,
A11,12.0,A31,A48,339.0, A61 ,A75,4.0,a94,A101,1.0,A123,45.0,a141,A152,1.0,A172,1.0,,A201,12.0,
A12,24.0,A32,A40,3512.0, A62 ,a74,2.0,A93,A101,3.0,A123,38.0,a141,A152,2.0,A173,1.0,A192,A201,24.0,
a14,,a34,A43,1898.0, A65 ,A73,1.0,A93,A101,2.0,A121,34.0,a143,,2.0,a172,2.0,A191,A201,,
a14,24.0,A34,A43,2872.0, A62 ,A75,3.0,A93,A101,4.0,A121,36.0,A143,a152,1.0,A173,2.0,A192,a201,24.0,
A14,18.0,A34,,1055.0, nan ,A72,4.0,A92,A101,1.0,A122,30.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
A14,15.0,A32,A44,1262.0, A63 ,A74,4.0,A93,A101,3.0,A122,36.0,A143,A152,2.0,A173,1.0,a192,a201,15.0,
a12,10.0,A32,a40,7308.0, A61 ,A71,2.0,A93,A101,4.0,A124,70.0,A141,a153,1.0,A174,1.0,a192,a201,10.0,
A14,36.0,A32,A40,909.0, A63 ,A75,4.0,A93,A101,4.0,A122,36.0,a143,a152,1.0,A173,1.0,A191,A201,36.0,
A14,6.0,A32,A42,2978.0, A63 ,A73,1.0,A93,A101,2.0,A123,32.0,A143,A152,1.0,a173,1.0,A192,A201,6.0,
A11,18.0,A32,A42,1131.0, A61 ,a71,4.0,a92,a101,2.0,A123,-5.0,A143,A152,,A173,1.0,A191,,18.0,
A12,11.0,A32,A42,1577.0, A64 ,A72,4.0,A92,A101,1.0,A121,20.0,A143,A152,1.0,A173,1.0,A191,A201,11.0, 
,,a32,A42,3972.0, A61 ,A74,2.0,A92,A101,4.0,A122,25.0,A143,A151,1.0,A173,1.0,a192,A201,, 
A12,24.0,A34,a49,1935.0, A61 ,A75,4.0,A91,a101,4.0,A121,31.0,A143,A152,2.0,A173,1.0,A192,A201,24.0,
A11,15.0,A30,A40,950.0, A61 ,A75,4.0,A93,A101,3.0,a123,33.0,A143,A151,2.0,A173,2.0,A191,A201,15.0,
,12.0,A32,A42,763.0, A61 ,A73,4.0,A92,A101,1.0,A121,26.0,A143,,1.0,a173,1.0,A192,A201,12.0,
a12,24.0,A33,A42,2064.0, nan ,A71,3.0,A92,,2.0,A122,,A143,A152,1.0,A174,,A192,A201,24.0,
A12,8.0,A32,A43,1414.0, nan ,A73,4.0,A93,a103,2.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A202,8.0,
A11,21.0,A33,A46,3414.0, A61 ,A72,2.0,a93,A101,1.0,A122,26.0,A143,A152,2.0,A173,,A191,A201,21.0, 
A14,30.0,A31,A41,7485.0, A65 ,A71,4.0,a92,a101,1.0,A121,53.0,A141,A152,1.0,A174,1.0,a192,A201,30.0,
a11,12.0,A32,A42,2577.0, A61 ,a73,2.0,A91,A101,1.0,A123,,A143,A152,1.0,A173,1.0,A191,A201,12.0,
A11,6.0,A34,A43,338.0, A63 ,a75,4.0,A93,a101,4.0,A123,52.0,A143,A152,2.0,A173,1.0,a191,A201,6.0,
A14,12.0,A32,A43,1963.0, A61 ,A74,4.0,,A101,2.0,A123,31.0,A143,A151,2.0,A174,2.0,A192,A201,12.0,
A11,21.0,A34,A40,571.0, A61 ,a75,4.0,A93,,4.0,,65.0,A143,A152,2.0,A173,1.0,A191,A201,21.0, 
a14,36.0,A33,A49,9572.0, A61 ,A72,1.0,,A101,1.0,A123,28.0,a143,A152,2.0,a173,1.0,a191,A201,36.0,
A12,36.0,A33,A49,4455.0, A61 ,A73,2.0,??,A101,2.0,A121,30.0,,a152,2.0,A174,1.0,A192,A201,36.0,
a11,21.0,,A40,1647.0, a65 ,A73,4.0,a93,a101,2.0,A122,40.0,A143,A152,2.0,A172,2.0,,A201,21.0,
A14,24.0,A34,A42,3777.0, A64 ,A73,4.0,A93,A101,4.0,A121,50.0,a143,A152,1.0,A173,1.0,A192,A201,24.0,
A12,18.0,a34,A40,884.0, a61 ,,4.0,A93,A101,4.0,A123,36.0,A141,A152,,A173,2.0,A192,A201,18.0,
a14,15.0,A34,A43,1360.0, A61 ,a73,4.0,A93,A101,2.0,A122,31.0,A143,a152,2.0,A173,1.0,A191,A201,15.0,
A12,9.0,A31,A41,5129.0, A61 ,A75,2.0,A92,A101,4.0,a124,74.0,A141,A153,1.0,a174,2.0,A192,A201,9.0,99
a12,16.0,a34,A40,1175.0, A61 ,A71,2.0,A93,,3.0,A123,68.0,A143,A153,3.0,A171,1.0,A192,A201,16.0,
A11,12.0,a32,A43,674.0, A62 ,A74,4.0,A94,A101,1.0,A122,20.0,A143,A152,1.0,A173,,A191,a201,12.0,
